document_id,text
page1-elem0,Building custom IBM Watson NLP Images.
page1-elem0,IBM Watson NLP (Natural Language Understanding) and Watson Speech containers can be run locally on-premises or Kubernetes and OpenShift clusters.
page1-elem0,Via REST and gRCP APIs AI can easily be embedded in applications.
page1-elem0,This post describes how to package custom models in container images for deployments.
page1-elem0,To set some context check out the landing page IBM Watson NLP Library for Embed [https://www.ibm.com/products/ibm-watson-natural-language-processing].
page1-elem0,The Watson NLP containers can be run on different container platforms they provide REST and gRCP interfaces they can be extended with custom models and they can easily be embedded in solutions.
page1-elem0,While this offering is new the underlaying functionality has been used and optimized for a long time in IBM offerings like the IBM Watson Assistant and NLU (Natural Language Understanding) SaaS services and IBM Cloud Pak for Data.
page1-elem0,To try it a trial [https://www.ibm.com/account/reg/us-en/signup?formid=urx-51726] is available.
page1-elem0,The container images are stored in an IBM container registry that is accessed via an IBM Entitlement Key [https://www.ibm.com/account/reg/signup?formid=urx-51726].
page1-elem0,Downloading trained Models
page1-elem0,My post Training IBM Watson NLP Models [http://heidloff.net/article/training-ibm-watson-nlp-models/] explains how to train Watson NLP based models with notebooks in Watson Studio.
page1-elem0,After the training models can be saved as file asset in the Watson Studio project and they can be downloaded.
page1-elem0,project.save_data('ensemble_model' data=ensemble_model.as_file_like_object() overwrite=True)
page1-elem0,The models are typically stored locally a directory ‘models’.
page1-elem0,The directory can contain the zipped file with or without ‘.zip’ extension.
page1-elem0,The zip file can also be extracted.
page1-elem0,The name of the file (or directory name when extracted) is the model id which you’ll need later to refer to it.
page1-elem0,There are three ways to build deploy Watson NLP and models.
page1-elem0,1.
page1-elem0,Standalone containers: One pod with one container including the NLP runtime and the models
page1-elem0,2.
page1-elem0,Init containers for models: One pod with one NLP runtime container and one init container per model
page1-elem0,3.
page1-elem0,Cloud object storage for models and kServe (not covered in this post)
page1-elem0,Building Standalone Images with custom Models
page1-elem0,The easiest way is to put everything in one image.
page1-elem0,$ docker login cp.icr.io --username cp --password <entitlement_key>
page1-elem0,The following Dockerfile extends the runtime image with a local copy of the model(s).
page1-elem0,ARG WATSON_RUNTIME_BASE="cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18"
page1-elem0,FROM ${WATSON_RUNTIME_BASE} as base
page1-elem0,ENV LOCAL_MODELS_DIR=/app/models
page1-elem0,ENV ACCEPT_LICENSE=true
page1-elem0,COPY models /app/models
page1-elem0,The following commands build the image and run the container.
page1-elem0,$ docker build .
page1-elem0,-t watson-nlp-custom-container:v1
page1-elem0,$ docker run -d -e ACCEPT_LICENSE=true -p 8085:8085 watson-nlp-custom-container:v1
page1-elem0,Building Standalone Images with predefined Models
page1-elem0,Similarly to custom models predefined models can be put in a standalone image.
page1-elem0,Predefined Watson NLP models are available in the IBM image registry as init container images.
page1-elem0,When these containers are run normally they will invoke an unpack_model.sh script.
page1-elem0,The following Dockerfile shows how to download the images with models and how to put the models into the directory where the runtime container expects them.
page1-elem0,ARG WATSON_RUNTIME_BASE="cp.icr.io/cp/ai/watson-nlp-runtime:1.0.18"
page1-elem0,ARG SENTIMENT_MODEL="cp.icr.io/cp/ai/watson-nlp_sentiment_aggregated-cnn-workflow_lang_en_stock:1.0.6"
page1-elem0,ARG EMOTION_MODEL="cp.icr.io/cp/ai/watson-nlp_classification_ensemble-workflow_lang_en_tone-stock:1.0.6"
page1-elem0,FROM ${SENTIMENT_MODEL} as model1
page1-elem0,RUN ./unpack_model.sh
page1-elem0,FROM ${EMOTION_MODEL} as model2
page1-elem0,RUN ./unpack_model.sh
page1-elem0,FROM ${WATSON_RUNTIME_BASE} as release
page1-elem0,RUN true && \
page1-elem0,mkdir -p /app/models
page1-elem0,ENV LOCAL_MODELS_DIR=/app/models
page1-elem0,COPY --from=model1 app/models /app/models
page1-elem0,COPY --from=model2 app/models /app/models
page1-elem0,Building Model Images for Init Containers
page1-elem0,Custom models can also be put in init container images.
page1-elem0,A Python tool is provided to do this.
page1-elem0,$ python3 -m venv client-env
page1-elem0,$ source client-env/bin/activate
page1-elem0,$ pip install watson-embed-model-packager
page1-elem0,$ python3 -m watson_embed_model_packager setup --library-version watson_nlp:3.2.0 --local-model-dir models --output-csv ./customer-complaints.csv
page1-elem0,$ python3 -m watson_embed_model_packager build --config customer-complaints.csv
