workspace_id,category_name,document_id,dataset,text,uri,element_metadata,label,label_type
heidloff_net,WatsonEmbed,page6_elem0,heidloff_net,TensorFlow Object Detection is a powerful technology to recognize different objects in images including their positions.,heidloff_net-page6_elem0-1,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem1,heidloff_net,* NLP [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog],heidloff_net-page1_elem1-12,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem1,heidloff_net,The NLP containers also provides a gRCP interface [https://github.com/IBM/watson-automation#grpc].,heidloff_net-page2_elem1-69,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem6,heidloff_net,Serving Watson NLP on Kubernetes with KServe ModelMesh.,heidloff_net-page1_elem6-0,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem5,heidloff_net,"$ curl ""http://localhost:1080/text-to-speech/api/v1/voices""",heidloff_net-page2_elem5-32,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem9,heidloff_net,It’s also possible to deploy in addition to the Watson NLP runtime multiple models both predefined models as well as custom models.,heidloff_net-page1_elem9-49,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem1,heidloff_net,To set some context check out the landing page IBM Watson NLP Library for Embed [https://www.ibm.com/products/ibm-watson-natural-language-processing].,heidloff_net-page2_elem1-4,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem0,heidloff_net,FROM ${EMOTION_MODEL} as model2,heidloff_net-page1_elem0-47,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem7,heidloff_net,* IBM Watson NLP Documentation [https://www.ibm.com/docs/en/watson-libraries?topic=watson-natural-language-processing-library-embed-home],heidloff_net-page1_elem7-63,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem5,heidloff_net,syntax_model = watson_nlp.load(watson_nlp.download('syntax_izumo_en_stock')),heidloff_net-page1_elem5-58,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page4_elem7,heidloff_net,repo: ibmcos-repo,heidloff_net-page4_elem7-30,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page5_elem5,heidloff_net,title: Movies,heidloff_net-page5_elem5-57,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem6,heidloff_net,To invoke Watson NLP from local code or via commands forward the port.,heidloff_net-page1_elem6-60,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page5_elem6,heidloff_net,if len(reconciler.ObjectMeta.Name) > validationutils.DNS1035LabelMaxLength-24 {,heidloff_net-page5_elem6-52,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem5,heidloff_net,* Entitlement key [https://www.ibm.com/account/reg/us-en/subscribe?formid=urx-51726],heidloff_net-page2_elem5-65,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page6_elem5,heidloff_net,The post Deploying TensorFlow Models on Edge Devices [http://heidloff.net/article/tensorflow-lite-ibm-watson-ios] appeared first on Niklas Heidloff [http://heidloff.net].,heidloff_net-page6_elem5-3,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem1,heidloff_net,Running IBM Watson NLP in Minikube.,heidloff_net-page2_elem1-0,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page8_elem9,heidloff_net,Presentation how to create Alexa Skills with IBM Watson.,heidloff_net-page8_elem9-0,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page3_elem3,heidloff_net,value: bx2.4x16,heidloff_net-page3_elem3-48,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page4_elem8,heidloff_net,- name: NAMESPACE,heidloff_net-page4_elem8-47,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem2,heidloff_net,"transcript: ""ibm watson speech to text can easily be embedded in applications""",heidloff_net-page1_elem2-66,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem8,heidloff_net,I’ve used the settings below which is more than required but I wanted to leave space for other applications.,heidloff_net-page1_elem8-14,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page8_elem5,heidloff_net,I blogged about a sample scenario to predict whether people would have survived the Titanic accident based on their age ticket […],heidloff_net-page8_elem5-3,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem7,heidloff_net,The Watson NLP containers can be run on different container platforms they provide REST and gRCP interfaces they can be extended with custom models and they can easily be embedded in solutions.,heidloff_net-page1_elem7-5,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem1,heidloff_net,"text: ""It is so easy to embed Watson NLP in applications.""",heidloff_net-page1_elem1-107,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page8_elem3,heidloff_net,In order to serve the web applications nginx is used.,heidloff_net-page8_elem3-3,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem8,heidloff_net,* Automation for Watson NLP Deployments [https://github.com/IBM/watson-automation],heidloff_net-page1_elem8-70,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem0,heidloff_net,Standalone containers: One pod with one container including the NLP runtime and the models,heidloff_net-page1_elem0-19,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page8_elem7,heidloff_net,The post Developing Serverless Functions with TypeScript [http://heidloff.net/article/serverless-functions-typescript-openwhisk] appeared first on Niklas Heidloff [http://heidloff.net].,heidloff_net-page8_elem7-5,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem3,heidloff_net,* Repo: Samples [https://github.com/ibm-build-lab/Watson-NLP/tree/main/MLOps],heidloff_net-page1_elem3-33,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page6_elem4,heidloff_net,While developers only have to provide the data and […],heidloff_net-page6_elem4-4,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem4,heidloff_net,* ibmcloud CLI documentation [https://cloud.ibm.com/docs/codeengine?topic=codeengine-cli#cli-secret-create],heidloff_net-page1_elem4-36,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem7,heidloff_net,Via REST and gRCP APIs AI can easily be embedded in applications.,heidloff_net-page1_elem7-2,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem2,heidloff_net,- name: watson-stt-en-us-telephony,heidloff_net-page1_elem2-33,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem2,heidloff_net,* Running IBM Watson Text to Speech in Containers [http://heidloff.net/article/running-ibm-watson-text-to-speech-in-containers/],heidloff_net-page1_elem2-78,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page8_elem9,heidloff_net,Last week there was a webinar Create Alexa skills with Watson Conversation where I was supposed to present.,heidloff_net-page8_elem9-1,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem6,heidloff_net,"$ curl -X POST ""http://localhost:8080/v1/watson.runtime.nlp.v1/NlpService/SyntaxPredict"" \",heidloff_net-page2_elem6-47,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page6_elem4,heidloff_net,The post Building Models with AutoML in IBM Watson Studio [http://heidloff.net/article/automl-ibm-watson-studio] appeared first on Niklas Heidloff [http://heidloff.net].,heidloff_net-page6_elem4-5,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem7,heidloff_net,> Build your applications with enterprise-grade speech technology: IBM Watson Speech Libraries for Embed are a set of containerized text-to-speech and speech-to-text libraries designed to offer our IBM partners greater flexibility to infuse the best of IBM Research technology into their solutions.,heidloff_net-page2_elem7-4,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page6_elem9,heidloff_net,With this technology you can not only build games but also other exciting scenarios.,heidloff_net-page6_elem9-2,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem1,heidloff_net,This post describes how to run Watson NLP locally in Minikube.,heidloff_net-page2_elem1-3,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page4_elem3,heidloff_net,containers:,heidloff_net-page4_elem3-57,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page4_elem9,heidloff_net,$ kubectl exec -n database database-cluster-0 -- curl -s http://localhost:8089/persons,heidloff_net-page4_elem9-55,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem5,heidloff_net,* IBM Watson NLP Model catalog [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog],heidloff_net-page1_elem5-79,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page7_elem1,heidloff_net,Some of my colleagues: Andrea Overthun Fernando Cejas Miriam Oglesby Niklas Heidloff Jonas Jacobi Joe Sepi Crane-Messina Christine Mayer Jonas […],heidloff_net-page7_elem1-4,{},NotWatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem9,heidloff_net,image: watson-nlp_syntax_izumo_lang_en_stock:1.0.7,heidloff_net-page1_elem9-39,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem5,heidloff_net,Running IBM Watson Text to Speech in Containers.,heidloff_net-page2_elem5-0,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page2_elem1,heidloff_net,* Model catalog [https://www.ibm.com/docs/en/watson-libraries?topic=models-catalog],heidloff_net-page2_elem1-72,{},WatsonEmbed,Standard
heidloff_net,WatsonEmbed,page1_elem3,heidloff_net,* Deploying Watson NLP to IBM Code Engine [http://heidloff.net/article/deploying-watson-nlp-to-ibm-code-engine/],heidloff_net-page1_elem3-22,{},WatsonEmbed,Standard
